                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1294,                 1.5163,                 1.2942,                0.70262,                0.57008,                0.59711,                0.37017,                 1.1265,                 2.7297,                  1.505,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.3568,                 1.9361,                 1.5028,                0.70262,                0.57008,                0.59711,                0.37017,                 1.1265,                 2.7297,                  1.505,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.1726,                 1.5056,                   1.27,                0.57516,                0.61667,                0.59144,                0.35954,                 1.1228,                 2.4752,                 1.4552,               0.000948,               0.000948,               0.000948
                     37,                 1.1019,                 1.4891,                 1.3212,                0.57516,                0.61667,                0.59144,                0.35954,                 1.1228,                 2.4752,                 1.4552,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.0172,                 1.3655,                 1.3284,                0.57516,                0.61667,                0.59144,                0.35954,                 1.1228,                 2.4752,                 1.4552,              0.0009197,              0.0009197,              0.0009197
                     39,                0.98724,                 1.2753,                 1.1925,                0.68056,                0.61621,                0.56872,                0.31988,                 1.1272,                 2.4368,                 1.4518,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.2426,                 1.4118,                 1.5042,                0.68056,                0.61621,                0.56872,                0.31988,                 1.1272,                 2.4368,                 1.4518,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.1089,                 1.3572,                 1.1839,                0.68195,                0.61933,                 0.5686,                0.38115,                 1.0973,                 2.4001,                 1.4581,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.1005,                 1.3719,                 1.2179,                0.68195,                0.61933,                 0.5686,                0.38115,                 1.0973,                 2.4001,                 1.4581,             0.00086312,             0.00086312,             0.00086312
                     43,                0.95279,                 1.1919,                   1.19,                0.68195,                0.61933,                 0.5686,                0.38115,                 1.0973,                 2.4001,                 1.4581,             0.00084897,             0.00084897,             0.00084897
                     44,                0.96249,                 1.2211,                 1.2242,                0.68183,                0.64741,                0.56166,                0.35284,                 1.1493,                 2.3245,                 1.4187,             0.00083482,             0.00083482,             0.00083482
                     45,                  1.115,                 1.2999,                 1.3009,                0.68183,                0.64741,                0.56166,                0.35284,                 1.1493,                 2.3245,                 1.4187,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.5236,                 3.8334,                 1.8392,                0.68183,                0.64741,                0.56166,                0.35284,                 1.1493,                 2.3245,                 1.4187,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.1403,                  1.367,                 1.2707,                0.67858,                0.62914,                0.57918,                0.36411,                  1.099,                 2.3311,                 1.3158,             0.00079238,             0.00079238,             0.00079238
                     48,                0.94259,                 1.0607,                 1.0781,                0.67858,                0.62914,                0.57918,                0.36411,                  1.099,                 2.3311,                 1.3158,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.0714,                 1.3417,                  1.356,                0.75407,                0.62222,                0.60975,                0.40454,                 1.1014,                 2.2713,                 1.2859,             0.00076409,             0.00076409,             0.00076409
                     50,                0.94787,                  1.171,                 1.2282,                0.75407,                0.62222,                0.60975,                0.40454,                 1.1014,                 2.2713,                 1.2859,             0.00074994,             0.00074994,             0.00074994
                     51,                0.90794,                 1.1331,                 1.1917,                0.75407,                0.62222,                0.60975,                0.40454,                 1.1014,                 2.2713,                 1.2859,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.0957,                 1.4862,                 1.2302,                0.77039,                   0.65,                0.61792,                0.40639,                 1.1356,                 2.1734,                 1.2633,             0.00072164,             0.00072164,             0.00072164
                     53,                  0.948,                 1.2936,                 1.1939,                0.77039,                   0.65,                0.61792,                0.40639,                 1.1356,                 2.1734,                 1.2633,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.0111,                 1.2175,                 1.2181,                0.77039,                   0.65,                0.61792,                0.40639,                 1.1356,                 2.1734,                 1.2633,             0.00069335,             0.00069335,             0.00069335
                     55,                0.92214,                 1.1904,                 1.1898,                0.73464,                0.64649,                0.63169,                0.41432,                 1.0756,                 2.1982,                 1.2479,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.0242,                 1.3169,                  1.211,                0.73464,                0.64649,                0.63169,                0.41432,                 1.0756,                 2.1982,                 1.2479,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.0019,                 1.3029,                 1.2182,                0.59266,                0.68333,                0.61742,                0.44888,                 1.0144,                 2.1939,                 1.2659,             0.00065091,             0.00065091,             0.00065091
                     58,                0.94161,                 1.2312,                 1.1683,                0.59266,                0.68333,                0.61742,                0.44888,                 1.0144,                 2.1939,                 1.2659,             0.00063676,             0.00063676,             0.00063676
                     59,                0.99714,                 1.2421,                 1.2593,                0.59266,                0.68333,                0.61742,                0.44888,                 1.0144,                 2.1939,                 1.2659,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.3269,                 1.7161,                 1.3276,                0.66372,                0.67102,                 0.6079,                0.42781,                 1.0112,                  2.262,                 1.2807,             0.00060847,             0.00060847,             0.00060847
                     61,                0.98697,                 1.2709,                 1.1476,                0.66372,                0.67102,                 0.6079,                0.42781,                 1.0112,                  2.262,                 1.2807,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.0809,                 1.4289,                 1.3507,                0.66372,                0.67102,                 0.6079,                0.42781,                 1.0112,                  2.262,                 1.2807,             0.00058017,             0.00058017,             0.00058017
                     63,                 0.8976,                 1.0943,                 1.1607,                0.64663,                0.67846,                0.59543,                0.41034,                 1.0465,                 2.2664,                 1.3063,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.0764,                  1.228,                 1.2937,                0.64663,                0.67846,                0.59543,                0.41034,                 1.0465,                 2.2664,                 1.3063,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.0061,                 1.7029,                 1.3282,                 0.6416,                0.68333,                0.59851,                0.45762,                0.94957,                 2.2643,                 1.2452,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.2545,                 1.5448,                  1.394,                 0.6416,                0.68333,                0.59851,                0.45762,                0.94957,                 2.2643,                 1.2452,             0.00052359,             0.00052359,             0.00052359
                     67,                0.94859,                 1.3633,                 1.2928,                 0.6416,                0.68333,                0.59851,                0.45762,                0.94957,                 2.2643,                 1.2452,             0.00050944,             0.00050944,             0.00050944
                     68,                0.96065,                 1.1684,                 1.2128,                0.66746,                0.68333,                 0.5799,                0.38596,                0.92945,                 2.2836,                 1.2203,             0.00049529,             0.00049529,             0.00049529
                     69,                0.85306,                 1.1841,                 1.1288,                0.66746,                0.68333,                 0.5799,                0.38596,                0.92945,                 2.2836,                 1.2203,             0.00048114,             0.00048114,             0.00048114
                     70,                  1.055,                 1.3228,                 1.3497,                0.66746,                0.68333,                 0.5799,                0.38596,                0.92945,                 2.2836,                 1.2203,               0.000467,               0.000467,               0.000467
                     71,                0.97853,                 1.2157,                 1.1523,                0.67771,                0.68236,                0.56256,                0.37932,                0.91657,                 2.2599,                 1.2037,             0.00045285,             0.00045285,             0.00045285
                     72,                  1.119,                 1.2839,                  1.249,                0.67771,                0.68236,                0.56256,                0.37932,                0.91657,                 2.2599,                 1.2037,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.0498,                 1.1448,                 1.1545,                0.68218,                0.67932,                0.58055,                0.39776,                0.89231,                 2.1373,                 1.1938,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.4989,                 2.5953,                 1.4932,                0.68218,                0.67932,                0.58055,                0.39776,                0.89231,                 2.1373,                 1.1938,             0.00041041,             0.00041041,             0.00041041
                     75,                0.91366,                 1.1101,                 1.0971,                0.68218,                0.67932,                0.58055,                0.39776,                0.89231,                 2.1373,                 1.1938,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.0388,                 1.1093,                  1.155,                  0.655,                0.68333,                0.57245,                0.41549,                 0.8805,                 2.0725,                 1.1726,             0.00038211,             0.00038211,             0.00038211
                     77,                0.98591,                 1.1828,                 1.2247,                  0.655,                0.68333,                0.57245,                0.41549,                 0.8805,                 2.0725,                 1.1726,             0.00036797,             0.00036797,             0.00036797
                     78,                  0.891,                 1.1156,                 1.1449,                  0.655,                0.68333,                0.57245,                0.41549,                 0.8805,                 2.0725,                 1.1726,             0.00035382,             0.00035382,             0.00035382
                     79,                0.87316,                 1.0643,                 1.1488,                0.65763,                0.68333,                0.57902,                0.43119,                0.84637,                 2.0987,                 1.1528,             0.00033967,             0.00033967,             0.00033967
                     80,                0.91443,                  1.014,                 1.0482,                0.65763,                0.68333,                0.57902,                0.43119,                0.84637,                 2.0987,                 1.1528,             0.00032553,             0.00032553,             0.00032553
                     81,                0.87701,                 1.1753,                 1.1961,                0.65819,                0.68333,                0.58114,                 0.4415,                0.84818,                 2.0803,                 1.1458,             0.00031138,             0.00031138,             0.00031138
                     82,                 1.8619,                 5.9926,                 1.7295,                0.65819,                0.68333,                0.58114,                 0.4415,                0.84818,                 2.0803,                 1.1458,             0.00029723,             0.00029723,             0.00029723
                     83,                 0.9001,                 1.2033,                 1.1805,                0.65819,                0.68333,                0.58114,                 0.4415,                0.84818,                 2.0803,                 1.1458,             0.00028308,             0.00028308,             0.00028308
                     84,                0.80698,                0.94724,                 1.0356,                0.66447,                0.68333,                0.57825,                0.43462,                0.85427,                 2.0826,                 1.1443,             0.00026894,             0.00026894,             0.00026894
                     85,                0.86873,                 1.1378,                 1.1543,                0.66447,                0.68333,                0.57825,                0.43462,                0.85427,                 2.0826,                 1.1443,             0.00025479,             0.00025479,             0.00025479
                     86,                0.88919,                 1.1663,                 1.1347,                0.66447,                0.68333,                0.57825,                0.43462,                0.85427,                 2.0826,                 1.1443,             0.00024064,             0.00024064,             0.00024064
                     87,                0.95577,                 1.1801,                 1.2694,                0.65913,                0.68333,                 0.5839,                0.43971,                0.84167,                 2.0697,                 1.1414,              0.0002265,              0.0002265,              0.0002265
                     88,                0.91804,                 1.3679,                 1.1569,                0.65913,                0.68333,                 0.5839,                0.43971,                0.84167,                 2.0697,                 1.1414,             0.00021235,             0.00021235,             0.00021235
                     89,                 1.6124,                 2.1153,                 1.7921,                0.68035,                0.67929,                0.57676,                 0.4142,                0.82238,                 2.0964,                 1.1256,              0.0001982,              0.0001982,              0.0001982
                     90,                0.85043,                 1.0731,                 1.1444,                0.68035,                0.67929,                0.57676,                 0.4142,                0.82238,                 2.0964,                 1.1256,             0.00018406,             0.00018406,             0.00018406
                     91,                 1.2631,                 1.9355,                 1.4215,                0.68035,                0.67929,                0.57676,                 0.4142,                0.82238,                 2.0964,                 1.1256,             0.00016991,             0.00016991,             0.00016991
                     92,                 1.1007,                 2.0186,                 1.3004,                0.71011,                0.67858,                0.59636,                0.43475,                0.80631,                 2.1106,                  1.127,             0.00015576,             0.00015576,             0.00015576
                     93,                 1.1632,                 2.4332,                 1.3873,                0.71011,                0.67858,                0.59636,                0.43475,                0.80631,                 2.1106,                  1.127,             0.00014161,             0.00014161,             0.00014161
                     94,                 1.0928,                  1.827,                 1.2414,                0.71011,                0.67858,                0.59636,                0.43475,                0.80631,                 2.1106,                  1.127,             0.00012747,             0.00012747,             0.00012747
                     95,                 0.9493,                 2.0025,                 1.2809,                0.65812,                0.68333,                0.59734,                 0.4344,                0.80638,                  2.113,                 1.1367,             0.00011332,             0.00011332,             0.00011332
                     96,                0.91966,                 2.1473,                 1.2943,                0.65812,                0.68333,                0.59734,                 0.4344,                0.80638,                  2.113,                 1.1367,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 1.1594,                 1.8103,                  1.233,                  0.639,                0.68333,                0.59666,                0.43396,                0.80937,                 2.1299,                 1.1457,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.94536,                 1.6302,                 1.2808,                  0.639,                0.68333,                0.59666,                0.43396,                0.80937,                 2.1299,                 1.1457,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                 1.0123,                 1.8117,                 1.2104,                  0.639,                0.68333,                0.59666,                0.43396,                0.80937,                 2.1299,                 1.1457,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 0.9336,                 1.6656,                 1.1704,                0.63174,                0.68333,                0.59614,                0.43036,                0.82832,                 2.1871,                 1.1496,             4.2584e-05,             4.2584e-05,             4.2584e-05
